start_real,start_imag,lyapunov_exponent
-83,55,-0.641161
31,-12,-0.667154
-13,72,-0.651558
-83,40,-0.635963
-60,-82,-0.651558
5,96,-0.635963
47,52,-0.646360
44,57,-0.646360
3,-75,-0.672353
68,-10,-0.661956
0,-26,-0.693147
-64,86,-0.682750
57,29,-0.641161
-20,65,-0.672353
9,-11,-0.630764
-10,-55,-0.651558
-82,11,-0.661956
78,-88,-0.620367
72,66,-0.641161
-45,26,-0.635963
-67,52,-0.635963
40,-29,-0.677551
-87,95,-0.641161
-11,79,-0.651558
36,56,-0.646360
52,-61,-0.672353
-27,-7,-0.661956
0,-92,-0.693147
9,-69,-0.656757
49,37,-0.667154
85,49,-0.672353
-27,94,-0.651558
-18,-35,-0.667154
82,-26,-0.656757
-85,-6,-0.641161
59,-62,-0.656757
-7,-74,-0.651558
37,-5,-0.667154
-34,-55,-0.667154
13,34,-0.677551
89,-13,-0.661956
-68,67,-0.682750
26,40,-0.646360
-81,-38,-0.651558
54,67,-0.667154
-13,61,-0.651558
69,-23,-0.667154
80,-43,-0.677551
-52,37,-0.656757
27,-72,-0.656757
67,-60,-0.677551
61,-99,-0.630764
60,58,-0.667154
56,33,-0.620367
-6,41,-0.651558
-45,56,-0.656757
11,-8,-0.677551
1,14,-0.672353
-93,-72,-0.620367
-51,-77,-0.667154
-12,34,-0.651558
31,-6,-0.667154
71,13,-0.661956
-85,53,-0.615168
15,27,-0.646360
13,11,-0.667154
-82,12,-0.656757
59,-39,-0.635963
21,-94,-0.672353
-31,-13,-0.661956
97,-57,-0.635963
-45,-18,-0.646360
99,71,-0.667154
-94,-53,-0.641161
65,-89,-0.615168
71,-44,-0.594374
84,-41,-0.677551
-13,33,-0.677551
-75,11,-0.620367
1,57,-0.672353
100,33,-0.635963
-18,-19,-0.687949
-16,63,-0.677551
-36,-67,-0.667154
-33,-96,-0.667154
-79,-82,-0.667154
55,45,-0.646360
40,-8,-0.667154
44,-68,-0.672353
81,0,-0.661956
88,-70,-0.677551
-1,39,-0.677551
-1,-11,-0.656757
-67,-24,-0.661956
-53,-40,-0.661956
37,26,-0.667154
22,-28,-0.656757
92,-83,-0.677551
-32,-77,-0.667154
-32,93,-0.677551
-27,82,-0.651558
-1,40,-0.677551
-9,-47,-0.651558
53,94,-0.672353
-48,56,-0.677551
-48,44,-0.682750
58,-10,-0.661956
48,-46,-0.672353
-85,-81,-0.667154
-11,81,-0.651558
-75,-9,-0.661956
41,-60,-0.656757
45,-39,-0.661956
62,16,-0.682750
9,-65,-0.672353
-7,72,-0.672353
-97,52,-0.641161
-1,44,-0.672353
33,-14,-0.625565
-38,26,-0.682750
-72,17,-0.620367
-81,30,-0.656757
26,-84,-0.672353
52,-17,-0.635963
58,-92,-0.661956
-64,-1,-0.687949
-63,-34,-0.661956
32,-71,-0.672353
36,-80,-0.661956
-65,18,-0.656757
59,-66,-0.656757
-40,85,-0.651558
98,16,-0.641161
-11,-31,-0.667154
23,18,-0.672353
-41,-96,-0.667154
-70,92,-0.677551
-16,-4,-0.687949
-7,57,-0.682750
-87,-84,-0.667154
-45,-3,-0.661956
34,-2,-0.667154
-12,88,-0.677551
-68,14,-0.661956
8,-5,-0.672353
62,-47,-0.677551
91,-34,-0.635963
9,4,-0.667154
70,-12,-0.641161
-43,-96,-0.667154
-27,66,-0.677551
-99,80,-0.615168
9,-72,-0.630764
-40,11,-0.656757
-37,-79,-0.625565
33,35,-0.646360
-77,-44,-0.667154
-51,32,-0.615168
46,46,-0.687949
88,54,-0.672353
-36,-79,-0.667154
23,84,-0.604771
96,-54,-0.677551
-53,-93,-0.667154
-72,11,-0.641161
9,-26,-0.630764
-38,66,-0.677551
-8,62,-0.677551
93,-37,-0.635963
-60,91,-0.635963
27,-42,-0.656757
24,3,-0.682750
82,-49,-0.661956
99,88,-0.667154
-64,-67,-0.687949
7,-91,-0.651558
-40,-13,-0.661956
94,99,-0.667154
-70,79,-0.641161
-82,50,-0.656757
69,79,-0.646360
-56,79,-0.682750
-77,4,-0.682750
-6,-37,-0.672353
-96,55,-0.682750
-33,32,-0.682750
-18,-25,-0.667154
78,-82,-0.589175
48,50,-0.687949
-24,-48,-0.667154
-99,88,-0.641161
90,-52,-0.635963
-94,-76,-0.667154
-87,67,-0.641161
79,-70,-0.661956
50,-64,-0.672353
-27,20,-0.656757
44,75,-0.667154
-91,-61,-0.646360
-44,-38,-0.620367
100,56,-0.661956
-36,95,-0.682750
-13,-72,-0.630764
87,-98,-0.656757
-65,-54,-0.646360
-44,-74,-0.667154
-97,36,-0.656757
94,-76,-0.661956
-41,1,-0.615168
86,39,-0.672353
54,16,-0.661956
-17,-60,-0.651558
73,61,-0.646360
-95,43,-0.641161
-84,48,-0.682750
66,-74,-0.661956
-13,-76,-0.672353
14,86,-0.672353
-84,-21,-0.620367
95,-40,-0.661956
-74,-2,-0.682750
2,33,-0.672353
-37,92,-0.682750
4,-43,-0.672353
93,85,-0.667154
0,-96,-0.693147
19,11,-0.667154
-71,27,-0.615168
68,-79,-0.615168
45,-72,-0.661956
50,-16,-0.667154
-99,94,-0.656757
-67,19,-0.620367
-64,87,-0.682750
48,61,-0.687949
-14,-7,-0.661956
27,57,-0.604771
70,-97,-0.630764
33,-79,-0.672353
-43,66,-0.677551
-50,60,-0.677551
-7,-54,-0.667154
-33,6,-0.656757
53,21,-0.682750
87,74,-0.667154
51,21,-0.661956
-42,-18,-0.661956
-77,-25,-0.661956
86,-15,-0.661956
-78,31,-0.656757
93,74,-0.667154
-45,-9,-0.661956
6,-51,-0.672353
-46,-53,-0.667154
99,49,-0.672353
69,64,-0.646360
92,-79,-0.677551
77,-87,-0.656757
-5,19,-0.677551
-29,-71,-0.646360
-62,65,-0.677551
-36,-38,-0.687949
85,-72,-0.656757
83,85,-0.646360
20,-67,-0.656757
-69,-43,-0.646360
16,-70,-0.672353
-9,-77,-0.651558
8,-96,-0.672353
42,-89,-0.630764
-61,-65,-0.661956
67,-90,-0.661956
